postcode,eastings,northings,latitude,longitude
NG17,449500,357900,53.11569,-1.26035
NG18,454600,360400,53.13766,-1.18373
NG19,453700,362800,53.15933,-1.19678
NG2,458400,337900,52.935,-1.131
NG20,454500,368400,53.20958,-1.18386
NG21,459900,360800,53.14069,-1.10443
NG22,468800,365100,53.17826,-0.97046
NG23,480300,358300,53.11553,-0.80012
NG24,480500,353200,53.06966,-0.79841
NG25,470000,353400,53.07294,-0.95506
NG3,458500,341500,52.96735,-1.12887
NG31,491500,336100,52.9142,-0.6391
NG32,490700,340000,52.94939,-0.64991
NG33,495800,325500,52.81819,-0.57829
NG34,508000,344600,52.98753,-0.39096
NG4,461400,341900,52.97062,-1.08561
NG5,457500,344800,52.99713,-1.14317
NG6,454300,344800,52.99746,-1.19085
NG7,455400,340400,52.95779,-1.17521
NG8,452900,341100,52.96434,-1.21231
NG9,451400,336800,52.92583,-1.23533
NN1,476000,261000,52.24154,-0.88682
NN10,495700,266900,52.2915,-0.59668
NN11,456100,260600,52.24033,-1.17833
NN12,468600,248200,52.12744,-0.99778
NN13,458500,237500,52.0324,-1.14715
NN14,489000,279900,52.40948,-0.69145
NN15,488100,277100,52.38446,-0.70542
NN16,487000,279400,52.40531,-0.72098
NN17,489000,290000,52.50026,-0.68876
NN18,487300,287700,52.47986,-0.7144
NN2,475400,263300,52.2623,-0.89509
NN29,491200,263300,52.2599,-0.66362
NN3,478800,263300,52.26182,-0.84528
NN4,475400,258200,52.21645,-0.89623
NN5,473100,261600,52.24732,-0.92916
